Agency,Slug,Title,Chapter,Word Count
Office of Housing and Multifamily Housing Assistance Restructuring,office-of-housing-and-multifamily-housing-assistance-restructuring,24,IV,1698221
Transportation Security Administration,transportation-security-administration,49,XII,3605253
"Office of Inspector General, Housing and Urban Development","office-of-inspector-general,-housing-and-urban-development",24,XII,1698221
Inter-American Foundation,inter-american-foundation,22,X,881604
Department of Interior,interior-department,2,XIV,305159
Office of Assistant Secretary for Equal Opportunity,office-of-assistant-secretary-for-equal-opportunity,24,I,1698221
United States Institute of Peace,united-states-institute-of-peace,22,XVII,881604
Office of Secretary (Housing Assistance Programs and Public and Indian Housing Programs),office-of-secretary-(housing-assistance-programs-and-public-and-indian-housing-programs),24,VII,1698221
Office of Independent Counsel,office-of-independent-counsel,28,VII,1282317
Department of Interior,interior-department,41,114,637940
Inter-American Foundation,inter-american-foundation,5,LXIII,1457374
Office of Federal Housing Enterprise Oversight,office-of-federal-housing-enterprise-oversight,12,XVII,5389880
Department of Interior,interior-department,5,XXV,1457374
Bureau of Land Management,land-management-bureau,43,II,1067241
Bureau of Indian Affairs,indian-affairs-bureau,25,I,756051
Bureau of Ocean Energy Management,ocean-energy-management-bureau,30,V,1188180
Bureau of Reclamation,reclamation-bureau,43,I,1067241
Office of Indian Affairs Assistant Secretary,office-of-indian-affairs-assistant-secretary,25,VI,756051
National Indian Gaming Commission,national-indian-gaming-commission,25,III,756051
Bureau of Safety and Environmental Enforcement,safety-and-environmental-enforcement-bureau,30,II,1188180
Department of Interior,interior-department,48,14,2390823
Indian Arts and Crafts Board,indian-arts-and-crafts-board,25,II,756051
Geological Survey,geological-survey,30,IV,1188180
National Park Service,national-park-service,36,I,984413
Gulf Coast Ecosystem Restoration Council,gulf-coast-ecosystem-restoration-council,40,VIII,13426474
Office of Surface Mining Reclamation and Enforcement,surface-mining-reclamation-and-enforcement-office,30,VII,1188180
Office of Special Trustee for American Indians,special-trustee-for-american-indians-office,25,VII,756051
Office of Natural Resources Revenue,natural-resources-revenue-office,30,XII,1188180
United States Section United States and Mexico International Boundary and Water Commission,international-boundary-and-water-commission-united-states-and-mexico,22,XI,881604
